
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
3 3 5 109.088620 6588.558472
0 0 4 111.123953 6882.388164
1 4 4 111.873664 4998.361177
2 3 5 112.312304 2314.144502
0 3 4 114.141161 3332.799132
3 4 5 116.388406 996.294209
4 4 5 120.142972 7139.026725
1 2 5 122.378916 3636.921429
2 4 5 123.834559 5988.554479
1 3 5 127.036797 4552.801054
1 1 5 129.698872 3040.617916
4 5 5 136.879130 185.703312
3 5 5 137.048101 6538.225957
0 4 4 139.932140 3335.116161
1 4 5 147.054464 1938.738615
0 2 5 150.287015 2798.571812
5 5 5 153.889773 6591.029469
2 5 5 154.687193 838.841142
0 1 5 155.788472 4466.308072
4 4 6 163.674418 171.421359
3 4 6 164.089803 6035.759301
0 3 5 174.296293 3081.892458

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 22.469661 798483.579521
0 0 1 23.797706 60026.703512
0 1 1 27.168212 8443791.373768
1 1 2 37.959486 6752866.563673
1 2 2 44.559032 1253759.065380
2 2 2 45.866851 1137673.021389
0 1 2 46.027304 440240.509495
0 0 2 48.707502 1041971.603030
0 2 2 56.035485 1299160.458162
2 2 3 59.330839 1114589.475971
1 1 3 61.134092 573555.521450
1 2 3 62.188666 3212737.862589
2 3 3 67.446242 932307.950816
0 1 3 70.797199 1456795.515696
3 3 3 71.534212 345679.986013
1 3 3 73.721084 652786.438495
0 2 3 75.345197 343350.442431
0 0 3 76.421202 31543.903591
2 2 4 81.153747 597169.966302
2 3 4 85.010579 1379749.482225
3 3 4 85.418433 316936.806330
1 2 4 87.102638 884932.683124
0 3 3 89.597291 336898.613968
1 3 4 94.357704 857554.469115
3 4 4 95.581622 693695.250337
2 4 4 98.620453 234495.300924
0 1 4 101.919560 178368.697984
4 4 4 102.397187 32272.865538
0 2 4 102.869900 512733.597817
3 3 5 109.088620 549075.545453
0 0 4 111.123953 141685.231277
1 4 4 111.873664 409986.040491
2 3 5 112.312304 378807.059836
0 3 4 114.141161 270582.411282
3 4 5 116.388406 160532.815115
4 4 5 120.142972 571042.971648
1 2 5 122.378916 581401.880470
2 4 5 123.834559 958306.541272
1 3 5 127.036797 733349.049664
1 1 5 129.698872 247408.054222
4 5 5 136.879130 15915.211407
3 5 5 137.048101 561289.224093
0 4 4 139.932140 147891.405680
1 4 5 147.054464 385573.381630
0 2 5 150.287015 298823.943500
5 5 5 153.889773 258528.473002
2 5 5 154.687193 101151.176699
0 1 5 155.788472 558152.233803
4 4 6 163.674418 30167.786793
3 4 6 164.089803 2175129.908746
0 3 5 174.296293 1494010.282926

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 22.469661 99810.447440
0 0 1 23.797706 10004.450585
0 1 1 27.168212 703649.281147
1 1 2 37.959486 281369.440153
1 2 2 44.559032 52239.961058
2 2 2 45.866851 142209.127674
0 1 2 46.027304 18343.354562
0 0 2 48.707502 173661.933838
0 2 2 56.035485 108263.371514
2 2 3 59.330839 46441.228165
1 1 3 61.134092 23898.146727
1 2 3 62.188666 66932.038804
2 3 3 67.446242 38846.164617
0 1 3 70.797199 60699.813154
3 3 3 71.534212 43209.998252
1 3 3 73.721084 27199.434937
0 2 3 75.345197 14306.268435
0 0 3 76.421202 5257.317265
2 2 4 81.153747 24882.081929
2 3 4 85.010579 28744.780880
3 3 4 85.418433 13205.700264
1 2 4 87.102638 18436.097565
0 3 3 89.597291 28074.884497
1 3 4 94.357704 17865.718107
3 4 4 95.581622 28903.968764
2 4 4 98.620453 9770.637539
0 1 4 101.919560 7432.029083
4 4 4 102.397187 4034.108192
0 2 4 102.869900 21363.899909
3 3 5 109.088620 22878.147727
0 0 4 111.123953 23614.205213
1 4 4 111.873664 17082.751687
2 3 5 112.312304 7891.813747
0 3 4 114.141161 11274.267137
3 4 5 116.388406 3344.433648
4 4 5 120.142972 23793.457152
1 2 5 122.378916 12112.539176
2 4 5 123.834559 19964.719610
1 3 5 127.036797 15278.105201
1 1 5 129.698872 10308.668926
4 5 5 136.879130 663.133809
3 5 5 137.048101 23387.051004
0 4 4 139.932140 12324.283807
1 4 5 147.054464 8032.778784
0 2 5 150.287015 12450.997646
5 5 5 153.889773 32316.059125
2 5 5 154.687193 4214.632362
0 1 5 155.788472 23256.343075
4 4 6 163.674418 1256.991116
3 4 6 164.089803 45315.206432
0 3 5 174.296293 62250.428455

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
-1 -1 -1 22.469661 99810.447440
-1 0 0 23.797706 10004.450585
-1 -1 0 27.168212 703649.281147
-2 -1 -1 37.959486 281369.440153
-1 0 1 39.625142 299520.806539
-2 -2 -1 44.559032 52239.961058
-2 -2 -2 45.866851 142209.127674
-2 -1 0 46.027304 18343.354562
-1 -1 1 46.747932 2015.631929
-2 0 0 48.707502 173661.933838
-2 -2 0 56.035485 108263.371514
-3 -2 -2 59.330839 46441.228165
-3 -1 -1 61.134092 23898.146727
-3 -2 -1 62.188666 66932.038804
-2 0 1 62.906575 966.140986
-2 -1 1 64.523760 86478.603576
-3 -3 -2 67.446242 38846.164617
-3 -1 0 70.797199 60699.813154
-3 -3 -3 71.534212 43209.998252
-2 1 1 71.898556 69031.546291
-3 -3 -1 73.721084 27199.434937
-3 -2 0 75.345197 14306.268435
-3 0 0 76.421202 5257.317265
-4 -2 -2 81.153747 24882.081929
-4 -3 -2 85.010579 28744.780880
-2 0 2 85.357755 46068.787300
-4 -3 -3 85.418433 13205.700264
-4 -2 -1 87.102638 18436.097565
-4 -1 -1 89.597291 28074.884497
-3 -1 1 89.712610 3642.381199
-2 -1 2 90.234359 410.649381
-3 0 1 91.684528 37838.556738
-4 -3 -1 94.357704 17865.718107
-4 -4 -3 95.581622 28903.968764
-3 -2 1 97.505437 29455.575992
-4 -4 -2 98.620453 9770.637539
-4 -1 0 101.919560 7432.029083
-4 -4 -4 102.397187 4034.108192
-4 -2 0 102.869900 21363.899909
-3 1 1 103.524249 313.807543
-2 -2 2 105.020395 29192.734702
-5 -3 -3 109.088620 22878.147727
-4 0 0 111.123953 23614.205213
-5 -2 -2 111.873664 17082.751687
-5 -3 -2 112.312304 7891.813747
-4 -3 0 114.141161 11274.267137
-3 -3 1 115.868347 6140.672969
-5 -4 -3 116.388406 3344.433648
-3 0 2 117.621168 262.270409
-3 -1 2 119.270238 24668.733888
-5 -4 -4 120.142972 23793.457152
-5 -2 -1 122.378916 12112.539176
-5 -4 -2 123.834559 19964.719610
-4 -1 1 126.167891 20975.086772
-5 -3 -1 127.036797 15278.105201
-3 1 2 127.471431 24688.350480
-5 -1 -1 129.698872 10308.668926
-4 -2 1 131.764566 5719.336411
-4 0 1 133.179303 2179.902657
-5 -5 -4 136.879130 663.133809
-5 -5 -3 137.048101 23387.051004
-4 -4 0 139.932140 12324.283807
-5 -4 -1 147.054464 8032.778784
-5 -2 0 150.287015 12450.997646
-5 -5 -5 153.889773 32316.059125
-6 -3 -3 154.687193 4214.632362
-5 -1 0 155.788472 23256.343075
-3 2 2 157.391991 364.072878
-4 1 1 161.525083 40965.487313
-6 -4 -4 163.674418 1256.991116
-6 -4 -3 164.089803 45315.206432
-5 -3 0 174.296293 62250.428455

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
-1 -1 -1 22.469661 199620.894880
-1 0 0 23.797706 60026.703512
-1 -1 0 27.168212 4221895.686884
-2 -1 -1 37.959486 1688216.640918
-1 0 1 39.625142 1797124.839234
-2 -2 -1 44.559032 313439.766345
-2 -2 -2 45.866851 284418.255347
-2 -1 0 46.027304 220120.254747
-1 -1 1 46.747932 12093.791571
-2 0 0 48.707502 1041971.603030
-2 -2 0 56.035485 649580.229081
-3 -2 -2 59.330839 278647.368993
-3 -1 -1 61.134092 143388.880363
-3 -2 -1 62.188666 803184.465647
-2 0 1 62.906575 11593.691827
-2 -1 1 64.523760 1037743.242914
-3 -3 -2 67.446242 233076.987704
-3 -1 0 70.797199 728397.757848
-3 -3 -3 71.534212 86419.996503
-2 1 1 71.898556 414189.277747
-3 -3 -1 73.721084 163196.609624
-3 -2 0 75.345197 171675.221215
-3 0 0 76.421202 63087.807182
-4 -2 -2 81.153747 149292.491576
-4 -3 -2 85.010579 344937.370556
-2 0 2 85.357755 276412.723799
-4 -3 -3 85.418433 79234.201582
-4 -2 -1 87.102638 221233.170781
-4 -1 -1 89.597291 336898.613968
-3 -1 1 89.712610 43708.574393
-2 -1 2 90.234359 4927.792570
-3 0 1 91.684528 454062.680853
-4 -3 -1 94.357704 214388.617279
-4 -4 -3 95.581622 173423.812584
-3 -2 1 97.505437 353466.911898
-4 -4 -2 98.620453 58623.825231
-4 -1 0 101.919560 89184.348992
