
Start of a new data set 
The energy is15000
 h k l 2theta Intensity
6 3 8 180.000000 2.561204
6 6 0 180.000000 1.205066
6 6 2 180.000000 1.199177
6 6 4 180.000000 1.182033
6 6 6 180.000000 1.155125
6 6 8 180.000000 1.120671
7 1 0 180.000000 3.777267
7 1 2 180.000000 3.725548
7 1 4 180.000000 3.576319
7 1 6 180.000000 3.346132
7 1 8 180.000000 3.058863
7 4 0 180.000000 1.503338
7 4 2 180.000000 1.492801
7 4 4 180.000000 1.462194
7 4 6 180.000000 1.414352
7 4 8 180.000000 1.353460
8 2 0 180.000000 1.789591
8 2 2 180.000000 1.774340
8 2 4 180.000000 1.730107
8 2 6 180.000000 1.661169
8 2 8 180.000000 1.573807
9 0 0 180.000000 1.911491
9 0 2 180.000000 1.894172
9 0 4 180.000000 1.843969
9 0 6 180.000000 1.765810
9 0 8 180.000000 1.666916
9 3 0 180.000000 1.092571
9 3 2 180.000000 1.088344
9 3 4 180.000000 1.076028
9 3 6 180.000000 1.056659
9 3 8 180.000000 1.031789

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 301.503298
0 1 0 42.470211 19.658154
0 1 1 44.670996 54.201184
0 1 2 50.821657 14.494402
0 0 4 54.800065 101.947664
0 1 3 60.041596 32.840770
0 1 4 71.695931 8.375505
1 1 0 77.708499 60.343222
1 1 2 83.857979 55.254299
0 1 5 85.652665 20.256835
0 0 6 87.307790 52.960909
0 2 0 92.836501 6.239486
0 2 1 94.356332 18.446469
0 2 2 98.938732 5.905011
1 1 4 102.162390 46.049082
0 1 6 102.439047 5.744117
0 2 3 106.722905 16.714563
0 2 4 118.232765 5.207484
0 1 7 124.024709 15.196307
0 0 8 133.969427 38.951215
0 2 5 135.341765 14.537438
1 1 6 137.743676 38.460182
1 2 0 146.782874 4.685882
1 2 1 149.663463 13.962173
1 2 2 160.474487 4.562095
0 1 8 163.066990 4.546218
0 1 9 180.000000 6.151045
0 2 6 180.000000 2.247865
0 2 7 180.000000 6.232156
0 2 8 180.000000 1.909192
0 2 9 180.000000 5.226718
0 3 0 180.000000 33.131388
0 3 2 180.000000 32.379531
0 3 4 180.000000 30.288280
0 3 6 180.000000 27.212922
0 3 8 180.000000 23.530485
0 4 0 180.000000 1.430735
0 4 1 180.000000 4.270344
0 4 2 180.000000 1.401839
0 4 3 180.000000 4.099956
0 4 4 180.000000 1.319068
0 4 5 180.000000 3.781907
0 4 6 180.000000 1.193180
0 4 7 180.000000 3.356124
0 4 8 180.000000 1.039305
0 4 9 180.000000 2.871130
0 5 1 180.000000 2.747063
0 5 3 180.000000 2.644203
0 5 5 180.000000 2.451681
0 5 7 180.000000 2.192954
